date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:57	85067/85067	---M--	200	added ('OK')	image/jpeg	etag:%225e6f794f-14c4b%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/hero-bg.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/hero-bg.jpg	(from https://d19m59y37dris4.cloudfront.net/photo/1-5-0/css/style.default.css)
13:59:58	230276/230276	---M--	200	added ('OK')	image/jpeg	etag:%225e6f792c-38384%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/divider-bg.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/divider-bg.jpg	(from https://d19m59y37dris4.cloudfront.net/photo/1-5-0/css/style.default.css)
13:59:58	99578/99578	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7945-184fa%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/hero-bg-2.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/hero-bg-2.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/index2.html)
13:59:58	406675/406675	---M--	200	added ('OK')	image/jpeg	etag:%225e6f78f4-63493%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/404.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/404.jpg	(from https://d19m59y37dris4.cloudfront.net/photo/1-5-0/css/style.default.css)
13:59:58	230276/230276	---M--	200	added ('OK')	image/jpeg	etag:%225e6f794d-38384%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/hero-bg-3.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/hero-bg-3.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/index2.html)
13:59:58	5922/5922	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7971-1722%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/product-1.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/product-1.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/category.html)
13:59:59	4884/4884	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7972-1314%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/product-2.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/product-2.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/category.html)
13:59:59	5167/5167	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7972-142f%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/product-3.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/product-3.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/category.html)
13:59:59	6248/6248	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7973-1868%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/product-4.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/product-4.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/category.html)
13:59:59	5976/5976	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7973-1758%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/product-5.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/product-5.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/category.html)
14:00:00	6210/6210	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7973-1842%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/product-6.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/product-6.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/category.html)
14:00:00	5702/5702	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7974-1646%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/product-7.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/product-7.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/category.html)
14:00:00	5499/5499	---MCZ	200	added ('OK')	text/css	etag:W/%225e6f7a16-157b%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/nouislider/nouislider.css	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/nouislider/nouislider.css	(from https://demo.bootstrapious.com/photo/1-5-0/category-left.html)
14:00:01	23882/23882	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e6f7a1a-5d4a%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/nouislider/nouislider.min.js	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/nouislider/nouislider.min.js	(from https://demo.bootstrapious.com/photo/1-5-0/category-left.html)
14:00:01	5467/5467	---M--	200	added ('OK')	image/jpeg	etag:%225e6f791c-155b%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/cat-drones.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/cat-drones.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/category-collections.html)
14:00:01	5702/5702	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7919-1646%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/camera-5.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/camera-5.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/category-search.html)
14:00:01	5976/5976	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7918-1758%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/camera-4.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/camera-4.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/category-search.html)
14:00:02	40590/40590	---M--	200	added ('OK')	image/jpeg	etag:%225e6f7920-9e8e%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-2.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/detail-2.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/detail.html)
